Revenue Analysis - Part I,,,,,,,,,,,,,,,,,,,,,,,,,
"In Financial Data Analysis, Revenue Analysis speaks primarily to understanding which product(s) generate the most revenues and whether we can identify any aspect of seasonality towards these trends or not.",,,,,,,,,,,,,,,,,,,,,,,,,
The importance of this is that we are able to clearly understand which product(s) generate the most revenues and least revenues and this forms the first part of our puzzle.,,,,,,,,,,,,,,,,,,,,,,,,,
"If a product generates a lot of revenues, but the expenses are greater than the revenues - this isn't a good news story.",,,,,,,,,,,,,,,,,,,,,,,,,
"However, if the product generates a lot of revenue, and the expenses are well below the revenue - we may have a product which is performing well.",,,,,,,,,,,,,,,,,,,,,,,,,
Let's take a look at what Southern Water Corps Revenue Analysis looks like by calculating the Revenues for each of the products and asking ourselves - what does the data tell us?,,,,,,,,,,,,,,,,,,,,,,,,,
Let's get started!,,,,,,,,,,,,,,,,,,,,,,,,,
"Q1. For each of the three Southern Water Corp. Desalination Plants, they produce desalinated water which is then consumed via private, public, or residential usage. 
Please calculate the monthly revenues for Kootha, Surjek and Jutik, and put this in the table below. ",,,,,,,,,,,,,,,,,,,,,,,,,
"Hint: You'll be utilizing the SUMIFS function here to assist you with the exercise. Remember the Syntax follows: =SUMIFS(Sum_Range, Criteria_Range_1, Criteria…)",,,,,,,,,,,,,,,,,,,,,,,,,
Unit,Value Driver,Accounting Code Centre,Accounting Code Centre Element,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,,,,,,,,,,
,,,,,,,,,,,,,,,,Total,,,,,,,,,
Kootha,Revenue,001 Private Water Hedge Sales,W-Transact (0211) - Soft,"$1,473,589.05","$1,419,296.10","$1,310,673.21","$1,301,024.73","$1,373,822.86","$1,340,623.04","$1,948,962.55","$1,725,161.70","$1,818,208.62","$1,328,501.68","$1,344,117.28","$1,291,609.13","$17,675,589.96",,,,,,,,,
Kootha,Revenue,001 Private Water Hedge Sales,W-Transact (0212) - Hard,"$1,620,947.95","$1,561,225.71","$1,441,740.53","$1,431,127.21","$1,511,205.15","$1,474,685.34","$2,143,858.81","$1,897,677.87","$2,000,029.48","$1,461,351.85","$1,478,529.01","$1,420,770.05","$19,443,148.95",,,,,,,,,
Kootha,Revenue,002 Public Sales,W-Transact (0211) - Soft,"$567,331.78","$546,429.00","$504,609.19","$500,894.52","$528,921.80","$516,139.87","$750,350.58","$664,187.25","$700,010.32","$511,473.15","$517,485.15","$497,269.52","$6,805,102.13",,,,,,,,,
Kootha,Revenue,002 Public Sales,W-Transact (0212) - Hard,"$955,954.05","$920,732.86","$850,266.48","$844,007.27","$891,233.24","$869,695.68","$1,264,340.73","$1,119,155.52","$1,179,517.39","$861,832.25","$871,962.48","$837,899.14","$11,466,597.09",,,,,,,,,
Kootha,Revenue,003 Residential Sales,W-Transact (0211) - Soft,"$1,296,758.36","$1,248,980.57","$1,153,392.42","$1,144,901.76","$1,208,964.12","$1,179,748.27","$1,715,087.05","$1,518,142.29","$1,600,023.59","$1,169,081.48","$1,182,823.21","$1,136,616.04","$15,554,519.16",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Surjek,Revenue,001 Private Water Hedge Sales,W-Transact (0211) - Soft,"$2,406,673.75","$2,028,377.01","$2,241,097.24","$2,104,393.51","$1,921,236.22","$2,161,522.17","$3,104,730.23","$2,116,798.71","$2,728,427.89","$2,259,504.87","$2,031,569.24","$2,245,023.23","$27,349,354.05",,,,,,,,,
Surjek,Revenue,001 Private Water Hedge Sales,W-Transact (0212) - Hard,"$4,813,347.49","$4,056,754.01","$4,482,194.48","$4,208,787.02","$3,842,472.45","$4,323,044.34","$6,209,460.45","$4,633,597.43","$5,456,855.77","$4,519,009.74","$4,063,138.47","$4,490,046.47","$55,098,708.10",,,,,,,,,
Surjek,Revenue,002 Public Sales,W-Transact (0211) - Soft,"$2,117,872.90","$1,784,971.76","$1,972,165.57","$1,851,866.29","$1,690,687.88","$1,902,139.51","$2,732,162.60","$2,478,782.87","$2,401,016.54","$1,988,364.28","$1,787,780.93","$1,975,620.44","$24,683,431.57",,,,,,,,,
Surjek,Revenue,002 Public Sales,W-Transact (0212) - Hard,"$3,850,677.99","$3,245,403.21","$3,585,755.58","$3,367,029.62","$3,073,977.96","$3,458,435.47","$4,967,568.36","$4,506,877.94","$4,365,484.62","$4,615,207.79","$3,250,510.78","$3,592,037.17","$45,878,966.48",,,,,,,,,
